Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
58,0,Travel_Rarely,610,Sales,11,4,Medical,3,Female,71,3,4,Manager,1,Married,15458,20431,8,Yes,22,4,4,0,19,6,3,1,1,1,1
22,0,Travel_Frequently,802,Sales,26,3,Marketing,1,Male,47,3,4,Manager,3,Single,15071,8873,5,No,22,4,1,0,8,5,3,4,1,3,1
33,0,Travel_Frequently,1186,Sales,13,2,Other,4,Male,40,3,5,Manager,2,Married,17971,24002,0,No,11,3,3,0,10,3,2,9,6,8,7
24,1,Travel_Rarely,497,Sales,23,3,Marketing,2,Female,56,3,1,Sales Representative,3,Divorced,5466,22872,4,Yes,25,4,4,1,2,2,3,1,1,0,0
32,0,Travel_Rarely,1471,Research & Development,15,4,Other,2,Male,91,1,2,Research Scientist,2,Married,8230,25776,3,No,11,3,1,2,4,2,4,1,1,1,1
32,1,Travel_Rarely,1204,Sales,12,2,Life Sciences,1,Male,88,2,4,Manager,3,Married,15851,6737,0,Yes,22,4,3,0,14,1,1,14,6,1,2
52,0,Travel_Rarely,502,Research & Development,23,4,Medical,2,Male,96,3,4,Manager,2,Married,15254,10338,2,No,14,3,3,1,8,3,3,1,1,0,1
52,0,Travel_Rarely,307,Research & Development,10,2,Other,3,Male,32,3,1,Laboratory Technician,3,Married,5815,6499,8,No,18,3,3,0,5,2,2,5,4,2,0
30,1,Travel_Rarely,1258,Sales,29,2,Other,2,Female,96,3,1,Sales Representative,3,Single,5391,22880,3,No,11,3,4,0,5,3,2,1,1,0,1
41,0,Travel_Frequently,379,Research & Development,2,3,Medical,3,Female,75,3,4,Manager,4,Married,14336,14468,2,No,25,4,2,1,8,6,3,8,0,4,5
40,0,Travel_Rarely,858,Research & Development,3,3,Other,1,Male,55,3,2,Research Scientist,4,Married,8376,7986,5,No,12,3,1,0,4,4,3,4,0,0,2
26,0,Travel_Rarely,1177,Research & Development,23,1,Other,3,Female,89,3,5,Research Director,3,Married,18282,17328,3,No,18,3,2,0,10,3,2,10,9,5,0
24,0,Travel_Rarely,1181,Research & Development,16,5,Life Sciences,3,Male,30,2,4,Manager,4,Married,14940,15407,8,Yes,24,4,2,1,8,1,3,2,0,1,2
20,1,Travel_Rarely,456,Human Resources,16,2,Other,1,Male,52,2,2,Human Resources,1,Married,8153,7881,6,Yes,20,4,1,0,4,5,2,4,1,1,4
50,0,Travel_Rarely,1166,Research & Development,16,3,Medical,1,Male,73,3,2,Manufacturing Director,4,Married,8067,22764,2,No,23,4,3,1,4,2,3,1,0,0,0
54,0,Travel_Rarely,1077,Research & Development,7,2,Other,3,Male,53,3,1,Laboratory Technician,4,Married,5347,25190,2,Yes,24,4,4,3,3,3,3,1,0,1,1
32,0,Travel_Rarely,1047,Sales,13,4,Marketing,2,Male,82,1,5,Manager,4,Married,17924,3167,4,No,19,3,1,0,14,2,2,4,2,1,4
